meters_per_step,failed
0.3859,0
0.3837,0
0.3706,0
0.3558,0
0.4596,0
0.4588,0
0.3445,0
0.3283,0
0.4367,0
0.4325,0
0.3360,0
0.3298,0
0.4228,0
0.3408,0
0.4429,0
0.3488,0
0.4499,0
0.3388,0
0.4394,0
0.3545,0
0.3380,0
0.3398,0
0.3362,0
0.4304,0
0.4325,0
0.3336,0
0.4219,0
0.3228,0
0.3298,0
0.4138,0
0.4116,0
0.3075,0
0.3087,0
0.3038,0
0.3000,0
0.3032,0
0.3109,0
0.4017,0
0.4030,0
0.3838,0
0.4334,0
0.4376,0
0.4349,0
0.4811,0
0.6455,0
0.7245,0
0.6179,0
0.6207,0
0.8558,1
0.6541,0
0.5533,0
0.5407,0
0.7386,1
0.8586,1
0.9490,1
0.6549,0
0.9334,1
1.3266,1
0.6608,0
0.5608,0
0.6709,0
0.6800,0
0.8368,0
0.8915,1
0.9829,1
0.8315,1
0.8385,1
0.8264,1
0.9072,1
1.1529,1
1.0852,1
1.1105,1
1.0672,1
0.5332,0
0.4925,0
0.5062,0
0.5009,0
0.7982,0
0.8618,0
0.8274,1
0.8712,1
0.8504,1
0.9048,1
1.2219,1
1.2392,1
1.4872,1
1.3485,1
1.3070,1
1.2366,1
1.3480,1
1.3977,1
1.3594,1
1.4874,1
1.1444,1
1.3473,1
1.0962,1
1.3185,1
1.2375,1
1.2141,1
1.2516,1
1.1505,1
1.2811,1
0.8169,1
0.9705,1
0.8608,1
0.8224,1
0.8140,1
0.8208,1
1.3151,1
1.3436,1
1.2189,1
0.9939,1
0.8128,1
0.9284,1
0.9588,1
0.8574,1
1.1144,1
1.3014,1
1.2060,1
1.0135,1
1.1738,1
1.2850,1
1.2700,1
1.1075,1
1.0116,1
1.3090,1
1.1834,1
1.0880,1
1.0752,1
1.1129,1
1.0983,1
1.1000,1
1.2286,1
0.9477,1
1.1018,1
0.7651,1
1.2062,1
1.0979,1
1.0873,1
1.2367,1
1.1114,1
1.0010,1
1.3386,1
1.3532,1
1.1940,1
1.2479,1
1.2533,1
1.1907,1
0.8370,1
0.6870,1
0.6875,1
0.9637,1
0.7930,1
0.9223,1
0.8736,1
0.8865,1
1.4212,1
1.7546,1
0.8764,1
0.8980,1
0.8990,1
0.8961,1
0.9994,1
0.8481,1
0.7124,1
0.9155,1
1.6203,1
1.0053,1
0.9631,1
0.9411,1
0.8744,1
0.8402,1
0.9404,1
0.7619,1
0.8405,1
0.7600,1
0.7802,1
0.6401,1
0.6869,1
0.7521,1
0.8303,1
0.7365,1
0.8488,1
0.8972,1
0.8165,1
0.8673,1
0.8156,1
0.7489,1
0.7749,1
0.7339,1
0.7268,1
0.6591,1
0.6563,1
0.8772,1
0.9354,1
0.7597,1
0.7912,1
0.8800,1
0.8422,1
0.6851,1
0.7199,1
0.7271,1
0.7847,1
0.8918,1
0.7733,1
0.9806,1
0.8862,1
0.9425,1
0.9409,1
0.9155,1
1.0270,1
1.4736,1
2.6984,1
0.9983,1
1.3496,1
1.0473,1
1.1631,1
0.8702,1
0.8451,1
1.0968,1
0.9826,1
0.8398,1
1.0859,1
0.9714,1
0.9263,1
0.8683,1
0.9137,1
0.9202,1
0.9082,1
0.8918,1
0.8379,1
1.0441,1
1.0167,1
1.2699,1
1.1691,1
0.8281,1
0.8850,1
1.0677,1
0.8740,1
0.6890,1
